lua-filesystem-single-lua52 1.8.0
lua-filesystem-single-lua53 1.8.0
lua-filesystem-single-lua54 1.8.0
pekwm-set-std 0.3.0
pekwm-primary-std 0.3.0
pekwm-man-std 0.3.0
perl-Path-Tiny-single-538 0.146
perl-Path-Tiny-single-540 0.146
perl-Tie-ToObject-single-538 0.03
perl-Tie-ToObject-single-540 0.03
python-django-bootstrap3-single-v11 24.2
python-django-bootstrap3-single-v12 24.2
python-parso-single-v11 0.8.4
python-parso-single-v12 0.8.4
python-pyasn1-single-v11 0.6.0
python-pyasn1-single-v12 0.6.0
python-setuptools-single-v11 72.2.0
python-setuptools-single-v12 72.2.0
roundcube-set-php81 1.6.8
roundcube-primary-php81 1.6.8
roundcube-docs-php81 1.6.8
roundcube-set-php82 1.6.8
roundcube-primary-php82 1.6.8
roundcube-docs-php82 1.6.8
roundcube-set-php83 1.6.8
roundcube-primary-php83 1.6.8
roundcube-docs-php83 1.6.8
whowatch-set-std 1.8.6
whowatch-primary-std 1.8.6
whowatch-man-std 1.8.6
xorg-xcb-util-keysyms-set-std 0.4.1
xorg-xcb-util-keysyms-primary-std 0.4.1
xorg-xcb-util-keysyms-dev-std 0.4.1
xrandr-set-std 1.5.2
xrandr-primary-std 1.5.2
xrandr-man-std 1.5.2
R-BH-single-std 1.84.0-0
R-geometry-single-std 0.4.7
R-globals-single-std 0.16.3
R-influenceR-single-std 0.1.5
bmake-set-std 20240722
bmake-primary-std 20240722
bmake-man-std 20240722
bmake-set-prevdbsd 20240722
bmake-primary-prevdbsd 20240722
bmake-man-prevdbsd 20240722
bmake-set-prevfbsd 20240722
bmake-primary-prevfbsd 20240722
bmake-man-prevfbsd 20240722
bmake-set-prevlinux 20240722
bmake-primary-prevlinux 20240722
bmake-man-prevlinux 20240722
libabw-single-std 0.1.3
libdvdcss-set-std 1.4.3
libdvdcss-primary-std 1.4.3
libdvdcss-dev-std 1.4.3
libmaxminddb-set-std 1.10.0
libmaxminddb-primary-std 1.10.0
libmaxminddb-dev-std 1.10.0
libmaxminddb-man-std 1.10.0
libmaxminddb-tools-std 1.10.0
perl-Algorithm-Pair-Best2-single-538 2.040
perl-Algorithm-Pair-Best2-single-540 2.040
perl-Digest-Perl-MD5-single-538 1.9
perl-Digest-Perl-MD5-single-540 1.9
perl-IO-Tee-single-538 0.66
perl-IO-Tee-single-540 0.66
perl-String-CRC32-single-538 2.100
perl-String-CRC32-single-540 2.100
sword-set-std 1.9.0
sword-primary-std 1.9.0
sword-dev-std 1.9.0
xfwm4-themes-single-std 4.10.0
R-rematch2-single-std 2.1.2
aspell-tn-single-std 1.0.1.0
clamav-set-std 1.4.0
clamav-primary-std 1.4.0
clamav-dev-std 1.4.0
clamav-man-std 1.4.0
clamav-docs-std 1.4.0
fonts-crosextra-caladea-single-std 20200211
gconf-set-std 3.2.6
gconf-primary-std 3.2.6
gconf-dev-std 3.2.6
gconf-docs-std 3.2.6
gconf-man-std 3.2.6
gconf-nls-std 3.2.6
libgit2-set-std 1.8.1
libgit2-primary-std 1.8.1
libgit2-dev-std 1.8.1
perl-HTTP-Message-single-538 6.46
perl-HTTP-Message-single-540 6.46
perl-Net-DNS-Resolver-Programmable-single-538 0.009
perl-Net-DNS-Resolver-Programmable-single-540 0.009
perl-Parse-Functions-single-538 0.01
perl-Parse-Functions-single-540 0.01
python-typed-ast-single-v11 1.5.5
python-typed-ast-single-v12 1.5.5
texlive-texmf-set-std 20240312
texlive-texmf-primary-std 20240312
texlive-texmf-docs-std 20240312
wolfssh-set-std 1.4.18
wolfssh-primary-std 1.4.18
wolfssh-dev-std 1.4.18
xorg-xbitmaps-single-std 1.1.3
aspell-gd-single-std 0.1.1.1
fluent-bit-set-std 3.1.6
fluent-bit-primary-std 3.1.6
fluent-bit-dev-std 3.1.6
kf6-baloo-set-std 6.5.0
kf6-baloo-primary-std 6.5.0
kf6-baloo-dev-std 6.5.0
kf6-baloo-nls-std 6.5.0
libarchive-set-std 3.7.4
libarchive-primary-std 3.7.4
libarchive-tools-std 3.7.4
libarchive-dev-std 3.7.4
libarchive-man-std 3.7.4
libarchive-set-static 3.7.4
libarchive-primary-static 3.7.4
libarchive-dev-static 3.7.4
libarchive-man-static 3.7.4
libarchive-set-extended 3.7.4
libarchive-primary-extended 3.7.4
libarchive-tools-extended 3.7.4
libarchive-dev-extended 3.7.4
libarchive-man-extended 3.7.4
libarchive-dev-ravensw 3.7.4
libassuan-set-std 3.0.1
libassuan-primary-std 3.0.1
libassuan-dev-std 3.0.1
libassuan-info-std 3.0.1
libmikmod-set-std 3.3.11.1
libmikmod-primary-std 3.3.11.1
libmikmod-dev-std 3.3.11.1
libmikmod-man-std 3.3.11.1
libmikmod-info-std 3.3.11.1
pcmanfm-qt-set-std 1.4.1
pcmanfm-qt-primary-std 1.4.1
pcmanfm-qt-lang-std 1.4.1
pcmanfm-qt-man-std 1.4.1
perl-List-MoreUtils-single-538 0.430
perl-List-MoreUtils-single-540 0.430
perl-Pod-Strip-single-538 1.100
perl-Pod-Strip-single-540 1.100
perl-Return-MultiLevel-single-538 0.08
perl-Return-MultiLevel-single-540 0.08
perl-namespace-clean-single-538 0.27
perl-namespace-clean-single-540 0.27
php83-gettext-single-std 8.3.10
python-gast-single-v11 0.6.0
python-gast-single-v12 0.6.0
python-netbox-disk-single-v11 0.0.7.6.5.66
python-netbox-disk-single-v12 0.0.7.6.5.66
stunnel-set-std 5.72
stunnel-primary-std 5.72
stunnel-dev-std 5.72
stunnel-docs-std 5.72
stunnel-examples-std 5.72
stunnel-man-std 5.72
vo-aacenc-single-std 0.1.3
xz-set-std 5.6.2
xz-primary-std 5.6.2
xz-tools-std 5.6.2
xz-dev-std 5.6.2
xz-man-std 5.6.2
xz-docs-std 5.6.2
xz-examples-std 5.6.2
R-sentimentr-single-std 2.9.0
aspell-ga-single-std 5.1.0
libadalang-tools-set-std 24.0.0
libadalang-tools-primary-std 24.0.0
libadalang-tools-dev-std 24.0.0
libadalang-tools-tools-std 24.0.0
libharu-set-std 2.4.4
libharu-primary-std 2.4.4
libharu-dev-std 2.4.4
perl-Set-Scalar-single-538 1.29
perl-Set-Scalar-single-540 1.29
python-httplib2-single-v11 0.22.0
python-httplib2-single-v12 0.22.0
python-netbox-static-routes-plugin-single-v11 0.3
python-netbox-static-routes-plugin-single-v12 0.3
sdl1-set-std 1.2.15
sdl1-primary-std 1.2.15
sdl1-docs-std 1.2.15
sdl1-examples-std 1.2.15
sdl1-man-std 1.2.15
sdl1-dev-std 1.2.15
xorg-xshmfence-set-std 1.3.2
xorg-xshmfence-primary-std 1.3.2
xorg-xshmfence-dev-std 1.3.2
yaml-cpp-set-std 0.8.0
yaml-cpp-primary-std 0.8.0
yaml-cpp-dev-std 0.8.0
R-tidymodels-single-std 1.2.0
aspell-fy-single-std 0.12.0
gstreamer1-plugins-good-set-std 1.24.6
gstreamer1-plugins-good-primary-std 1.24.6
gstreamer1-plugins-good-nls-std 1.24.6
kf6-kconfig-set-std 6.5.0
kf6-kconfig-primary-std 6.5.0
kf6-kconfig-tools-std 6.5.0
kf6-kconfig-dev-std 6.5.0
kf6-kconfig-nls-std 6.5.0
libnghttp2-set-std 1.62.1
libnghttp2-primary-std 1.62.1
libnghttp2-dev-std 1.62.1
lxqt-menu-data-single-std 2.0.0
minetest-set-std 5.9.0
minetest-client-std 5.9.0
minetest-server-std 5.9.0
minetest-data-std 5.9.0
minetest-man-std 5.9.0
minetest-docs-std 5.9.0
minetest-nls-std 5.9.0
nlopt-set-std 2.7.1
nlopt-primary-std 2.7.1
nlopt-dev-std 2.7.1
nlopt-man-std 2.7.1
perl-Algorithm-BloomFilter-single-538 0.02
perl-Algorithm-BloomFilter-single-540 0.02
perl-LWP-Protocol-https-single-538 6.14
perl-LWP-Protocol-https-single-540 6.14
perl-Test-TCP-single-538 2.22
perl-Test-TCP-single-540 2.22
php83-mbstring-single-std 8.3.10
qt5-qtdeclarative-set-std 5.15.9
qt5-qtdeclarative-primary-std 5.15.9
qt5-qtdeclarative-dev-std 5.15.9
unzip-set-std 6.0
unzip-primary-std 6.0
unzip-man-std 6.0
unzip-docs-std 6.0
unzip-set-chinese 6.0
unzip-primary-chinese 6.0
unzip-man-chinese 6.0
unzip-set-korean 6.0
unzip-primary-korean 6.0
unzip-man-korean 6.0
unzip-set-russian 6.0
unzip-primary-russian 6.0
unzip-man-russian 6.0
video4linux-set-std 1.24.1
video4linux-primary-std 1.24.1
video4linux-dev-std 1.24.1
video4linux-man-std 1.24.1
video4linux-nls-std 1.24.1
aspell-ml-single-std 0.04.1
clang17-set-std 17.0.6
clang17-compiler-std 17.0.6
clang17-extra-std 17.0.6
clang17-dynlibs-std 17.0.6
clang17-man-std 17.0.6
libffcall-set-std 2.4
libffcall-primary-std 2.4
libffcall-dev-std 2.4
